name,num_cores,num_events,elapsed,allocstats_before_elapsed_ms,allocstats_before_user_ms,allocstats_before_system_ms,allocstats_before_current_rss,allocstats_before_peak_rss,allocstats_before_current_commit,allocstats_before_peak_commit,allocstats_before_page_faults,allocstats_after_elapsed_ms,allocstats_after_user_ms,allocstats_after_system_ms,allocstats_after_current_rss,allocstats_after_peak_rss,allocstats_after_current_commit,allocstats_after_peak_commit,allocstats_after_page_faults
Q0,1,3000000,0.919715957,20,6,0,0,136384512,0,0,124,940,4151,0,517000960,342306816,517000960,517005056,146
Q1,1,3000000,1.645994576,943,4153,0,0,342306816,0,0,148,2589,9037,88,8970240,467681280,8970240,9011200,166
Q2,1,3000000,0.904758195,2592,9039,88,0,467681280,0,0,166,3497,13097,107,581632,484757504,581632,622592,171
Q3,1,3000000,1.047374507,3501,13098,107,0,484757504,0,0,175,4548,17300,126,385024,487862272,385024,389120,180
Q4,1,3000000,2.113359552,4550,17301,126,0,487862272,0,0,181,6664,22778,186,537124864,939388928,537124864,616636416,184
Q5,1,3000000,0.997295134,6666,22779,186,0,939388928,0,0,185,7663,26875,215,253952,939388928,253952,258048,185
Q6,1,3000000,2.242496115,7665,26876,215,0,939388928,0,0,185,9907,32435,265,385024,1050578944,385024,79896576,186
Q7,1,3000000,2.064971576,9908,32436,265,0,1050578944,0,0,186,11973,37733,295,585728,1283358720,585728,466169856,186
Q8,1,3000000,1.037457383,11974,37733,295,0,1283358720,0,0,186,13011,41903,317,385024,1283358720,385024,389120,186
Q9,1,3000000,9.118615938,13012,41905,317,0,1283358720,0,0,186,22133,53739,855,1610997760,2927841280,1610997760,2541953024,189
Q12,1,3000000,1.174105162,22133,53740,855,0,2927841280,0,0,189,23307,57976,884,385024,2927841280,385024,389120,189
Q13,1,3000000,2.093987678,23315,57981,884,0,2927841280,0,0,190,25409,63264,934,18446744073709543424,2927841280,18446744073709543424,394272768,191
Q14,1,3000000,1.080076516,25409,63265,934,0,2927841280,0,0,191,26489,67356,982,18446744073709543424,2927841280,18446744073709543424,32768,191
Q15,1,3000000,2.357811517,26494,67356,984,0,2927841280,0,0,195,28851,72865,1022,18446744073709543424,2927841280,18446744073709543424,32768,201
Q16,1,3000000,7.094400822,28853,72866,1022,0,2927841280,0,0,203,35947,83100,1083,18446744073709543424,2927841280,18446744073709543424,32768,203
Q17,1,3000000,3.587633781,35948,83101,1083,0,2927841280,0,0,204,39536,89982,1092,18446744073709543424,2927841280,18446744073709543424,32768,204
Q18,1,3000000,4.204519543,39536,89983,1092,0,2927841280,0,0,204,43741,97244,1251,18446744073709543424,3303940096,18446744073709543424,1329602560,204
Q19,1,3000000,4.955148591,43741,97245,1251,0,3303940096,0,0,204,48695,105363,1373,18446744073709543424,3303940096,18446744073709543424,1069555712,205
Q20,1,3000000,3.82030144,48696,105364,1373,0,3303940096,0,0,205,52517,112364,1474,18446744073709543424,3303940096,18446744073709543424,998252544,205
Q21,1,3000000,1.240395144,52519,112364,1474,0,3303940096,0,0,211,53759,116643,1513,18446744073709543424,3303940096,18446744073709543424,32768,211
Q22,1,3000000,1.220510884,53761,116644,1513,0,3303940096,0,0,211,54981,120981,1531,18446744073709543424,3303940096,18446744073709543424,32768,211
